@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0031928480,¬g
0.0118200409,g
0.0027545651,¬g
0.0067200316,g
0.0048239403,¬g
0.0118720125,¬g
0.0134695086,¬g
0.0058841010,¬g
0.0145499384,¬g
0.0034536403,g
0.0039861896,g
0.0031511571,¬g
0.0033792751,¬g
0.0013638074,¬g
0.0037826479,g
0.0073397157,g
0.0101915470,g
0.0029569893,¬g
0.0120953285,¬g
0.0156541110,¬g
0.0046670690,¬g
0.0038778381,¬g
0.0026596265,¬g
0.0122383751,¬g
0.0056479051,g
0.0109140254,¬g
0.0036840554,g
0.0133412864,¬g
0.0053107008,¬g
0.0163158446,¬g
0.0103095794,¬g
0.0119040358,¬g
0.0055371320,g
0.0018558173,g
0.0034792036,¬g
0.0079705764,¬g
0.0030248216,¬g
0.0040003941,¬g
0.0057589511,g
0.0023552401,g
0.0015417331,g
0.0111762287,¬g
0.0057756246,¬g
0.0089533807,g
0.0030707071,¬g
