@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0031928480,r
0.0118200409,¬r
0.0027545651,¬r
0.0067200316,¬r
0.0048239403,r
0.0118720125,r
0.0134695086,r
0.0058841010,¬r
0.0145499384,¬r
0.0034536403,¬r
0.0039861896,¬r
0.0031511571,¬r
0.0033792751,¬r
0.0013638074,r
0.0037826479,¬r
0.0073397157,¬r
0.0101915470,¬r
0.0029569893,r
0.0120953285,r
0.0156541110,r
0.0046670690,¬r
0.0038778381,¬r
0.0026596265,¬r
0.0122383751,¬r
0.0056479051,¬r
0.0109140254,r
0.0036840554,¬r
0.0133412864,r
0.0053107008,¬r
0.0163158446,r
0.0103095794,r
0.0119040358,¬r
0.0055371320,¬r
0.0018558173,¬r
0.0034792036,r
0.0079705764,r
0.0030248216,¬r
0.0040003941,r
0.0057589511,¬r
0.0023552401,¬r
0.0015417331,¬r
0.0111762287,¬r
0.0057756246,¬r
0.0089533807,¬r
0.0030707071,¬r
