@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0031928480,0.0061892131,0.0080991559,r
0.0118200409,0.0285276074,0.0079233160,¬r
0.0027545651,0.0105230579,0.0067913351,¬r
0.0067200316,0.0154165431,0.0077231082,¬r
0.0048239403,0.0090625885,0.0065898723,r
0.0118720125,0.0204858063,0.0077485878,r
0.0134695086,0.0245707519,0.0069454223,r
0.0058841010,0.0112927192,0.0038901680,¬r
0.0145499384,0.0215782984,0.0072339609,¬r
0.0034536403,0.0074673304,0.0080977275,¬r
0.0039861896,0.0069052103,0.0078768783,¬r
0.0031511571,0.0106351551,0.0068193700,¬r
0.0033792751,0.0101071975,0.0075536338,¬r
0.0013638074,0.0050790068,0.0014731228,r
0.0037826479,0.0096067247,0.0079113924,¬r
0.0073397157,0.0156657963,0.0077981337,¬r
0.0101915470,0.0159275453,0.0080731394,¬r
0.0029569893,0.0089605735,0.0076257782,r
0.0120953285,0.0306864916,0.0078287777,r
0.0156541110,0.0306804374,0.0076829598,r
0.0046670690,0.0105612553,0.0081437899,¬r
0.0038778381,0.0093429777,0.0078197664,¬r
0.0026596265,0.0105602816,0.0077256241,¬r
0.0122383751,0.0204144757,0.0081426406,¬r
0.0056479051,0.0093321668,0.0078727084,¬r
0.0109140254,0.0151206746,0.0060881736,r
0.0036840554,0.0070733864,0.0072302636,¬r
0.0133412864,0.0265433940,0.0076275450,r
0.0053107008,0.0125074449,0.0077019517,¬r
0.0163158446,0.0329877474,0.0078307645,r
0.0103095794,0.0221962617,0.0044404626,r
0.0119040358,0.0213479719,0.0079706308,¬r
0.0055371320,0.0117576123,0.0076852885,¬r
0.0018558173,0.0052003671,0.0060422444,¬r
0.0034792036,0.0062093436,0.0075918940,r
0.0079705764,0.0214631197,0.0075843914,r
0.0030248216,0.0081398854,0.0081011756,¬r
0.0040003941,0.0088678688,0.0081153421,r
0.0057589511,0.0114977307,0.0075739921,¬r
0.0023552401,0.0077136686,0.0076694959,¬r
0.0015417331,0.0041467305,0.0071428571,¬r
0.0111762287,0.0219000617,0.0080321571,¬r
0.0057756246,0.0102593331,0.0069012965,¬r
0.0089533807,0.0169805496,0.0078869411,¬r
0.0030707071,0.0124242424,0.0075583328,¬r
