@RELATION fundus

@ATTRIBUTE RED_MAX2 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0223990569,r
0.0205521472,g
0.0092850511,h
0.0254965906,g
0.0150099122,r
0.0038045069,r
0.0216104204,r
0.0124814264,h
0.0061652281,h
0.0102675793,g
0.0075329567,g
0.0147710487,h
0.0147013783,h
0.0101580135,r
0.0279195437,g
0.0124746156,g
0.0165521549,g
0.0173237754,r
0.0000000000,r
0.0015188335,r
0.0175015088,h
0.0126582278,h
0.0193605163,h
0.0024744819,h
0.0201224847,g
0.0194824077,r
0.0117889773,g
0.0005964808,r
0.0139964264,h
0.0226201697,r
0.0204439252,r
0.0289722476,h
0.0367802231,g
0.0094830223,g
0.0156712005,r
0.0000000000,r
0.0153753392,h
0.0124150163,r
0.0172465961,g
0.0064794816,g
0.0121212121,g
0.0092535472,h
0.0233684810,h
0.0200679222,g
0.0148484848,h
