@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0031928480,0.0248238186,¬h
0.0118200409,0.0248071346,¬h
0.0027545651,0.0240613027,h
0.0067200316,0.0246305419,¬h
0.0048239403,0.0249109540,¬h
0.0118720125,0.0249286812,¬h
0.0134695086,0.0249492076,¬h
0.0058841010,0.0223738673,h
0.0145499384,0.0255793026,h
0.0034536403,0.0245545837,¬h
0.0039861896,0.0252892746,¬h
0.0031511571,0.0235224459,h
0.0033792751,0.0230005516,h
0.0013638074,0.0076168807,¬h
0.0037826479,0.0245005654,¬h
0.0073397157,0.0248223850,¬h
0.0101915470,0.0248351648,¬h
0.0029569893,0.0250165599,¬h
0.0120953285,0.0239498895,¬h
0.0156541110,0.0205086580,¬h
0.0046670690,0.0246294185,h
0.0038778381,0.0250593627,h
0.0026596265,0.0251963241,h
0.0122383751,0.0247501922,h
0.0056479051,0.0245067385,¬h
0.0109140254,0.0186893457,¬h
0.0036840554,0.0248275862,¬h
0.0133412864,0.0252978510,¬h
0.0053107008,0.0249807840,h
0.0163158446,0.0249738710,¬h
0.0103095794,0.0159417929,¬h
0.0119040358,0.0245098569,h
0.0055371320,0.0246629183,¬h
0.0018558173,0.0248347446,¬h
0.0034792036,0.0243521097,¬h
0.0079705764,0.0245196003,¬h
0.0030248216,0.0249724851,h
0.0040003941,0.0243962649,¬h
0.0057589511,0.0251827243,¬h
0.0023552401,0.0253844003,¬h
0.0015417331,0.0259470561,¬h
0.0111762287,0.0241873959,h
0.0057756246,0.0262745780,h
0.0089533807,0.0244002593,¬h
0.0030707071,0.0256184841,h
