@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0119805482,0.0080991559,¬g
0.0059509203,0.0079233160,g
0.0038378211,0.0067913351,¬g
0.0157130151,0.0077231082,g
0.0093599547,0.0065898723,¬g
0.0012584138,0.0077485878,¬g
0.0068235643,0.0069454223,¬g
0.0079940565,0.0038901680,¬g
0.0017416769,0.0072339609,¬g
0.0059738643,0.0080977275,g
0.0039077213,0.0078768783,g
0.0087887740,0.0068193700,¬g
0.0060183767,0.0075536338,¬g
0.0036681716,0.0014731228,¬g
0.0126088262,0.0079113924,g
0.0076008123,0.0077981337,g
0.0103216740,0.0080731394,g
0.0086768220,0.0076257782,¬g
0.0000000000,0.0078287777,¬g
0.0001822600,0.0076829598,¬g
0.0085998793,0.0081437899,¬g
0.0064345992,0.0078197664,¬g
0.0094602523,0.0077256241,¬g
0.0006186205,0.0081426406,¬g
0.0091134442,0.0078727084,g
0.0083745275,0.0060881736,¬g
0.0063071029,0.0072302636,g
0.0000447361,0.0076275450,¬g
0.0075044669,0.0077019517,¬g
0.0060791706,0.0078307645,¬g
0.0103679907,0.0044404626,¬g
0.0102012809,0.0079706308,¬g
0.0180735604,0.0076852885,g
0.0058733558,0.0060422444,g
0.0062832643,0.0075918940,¬g
0.0000000000,0.0075843914,¬g
0.0060144709,0.0081011756,¬g
0.0067986994,0.0081153421,¬g
0.0098335855,0.0075739921,g
0.0029929034,0.0076694959,g
0.0050398724,0.0071428571,g
0.0033004318,0.0080321571,¬g
0.0137361071,0.0069012965,¬g
0.0116702686,0.0078869411,g
0.0065909091,0.0075583328,¬g
